new_id	phase	P__Actinobacteria	P__Proteobacteria	P__Bacteroidetes	P__Firmicutes	P__Cyanobacteria.Chloroplast	P__Parcubacteria	P__Fusobacteria	K__Bacteria	NA	P__SR1	P__Candidatus_Saccharibacteria	P__Verrucomicrobia	P__Deferribacteres	P__Chloroflexi	P__Acidobacteria	P__Spirochaetes	P__Deinococcus.Thermus	P__Fibrobacteres	P__Tenericutes	P__Planctomycetes	P__Armatimonadetes	P__Gemmatimonadetes	P__Nitrospirae	P__Latescibacteria	P__Elusimicrobia	P__Ignavibacteriae	P__Microgenomates	P__Cloacimonetes	P__Synergistetes	P__candidate_division_WPS.1	P__Caldiserica	P__Chlamydiae	P__Lentisphaerae
2020-023_PSC_0076	BL	53	155	1720	1817	20	13	0	15	4	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0077	BL	750	3171	1158	1746	1269	736	0	519	5	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0079	BL	3566	4559	996	2224	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0080	BL	4522	1214	1123	1578	0	814	0	259	9	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0081	BL	1247	5094	492	1117	512	1045	266	339	18	0	0	0	0	0	746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0082	BL	192	519	300	373	31	9	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0084	BL	130	552	159	170	0	27	0	44	14	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0085	BL	2	0	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0086	BL	20	85	20	13	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0089	BL	3677	2646	511	6890	369	233	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
2020-023_PSC_0090	BL	1217	2682	1760	1638	0	1226	0	330	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0091	BL	223	438	1158	506	0	103	93	120	5	0	0	0	0	0	26	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0092	BL	1264	1407	1522	913	161	168	0	164	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0093	BL	2075	2967	580	812	438	1055	0	799	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
2020-023_PSC_0095	BL	2851	3029	922	1669	2604	399	0	811	0	0	576	18	0	0	0	0	0	0	0	50	0	0	0	0	0	0	27	0	0	0	0	0	0
2020-023_PSC_0097	BL	33	189	509	54	28	10	0	39	0	0	2	5	0	13	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0098	BL	230	770	2370	166	120	137	0	168	22	12	22	26	0	0	38	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0099	BL	820	4265	1521	1100	1848	731	0	2013	26	0	16	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0101	BL	3332	1818	1021	2685	187	231	0	561	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0102	BL	1534	14155	19613	5877	561	639	0	2384	16	0	0	158	0	0	632	123	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0105	BL	1491	3654	3105	5401	359	394	48	354	14	0	59	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0107	BL	67	414	86	31	124	13	0	159	19	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0109	BL	1655	3544	1985	1544	45	189	0	1077	5	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0
2020-023_PSC_0111	BL	1493	4842	770	2063	583	572	0	594	49	0	244	0	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0113	BL	1759	3245	1134	3023	271	563	0	96	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0114	BL	1980	6745	1144	3655	3696	1343	0	1337	0	0	282	66	0	0	310	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0
2020-023_PSC_0116	BL	729	5262	3125	3034	397	18	0	658	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0117	BL	199	527	638	434	98	47	0	272	0	0	45	10	0	0	32	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
2020-023_PSC_0118	BL	2771	8212	1964	5198	465	671	0	1942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0122	BL	7884	12173	2536	1618	5065	1844	0	2305	32	0	524	0	0	0	0	0	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0123	BL	214	5784	712	1049	0	840	0	378	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0124	BL	1508	6349	6154	6437	532	121	155	305	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0125	BL	192	1364	12686	30918	10	29	0	984	0	0	11	10	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0126	BL	668	3904	6187	315	143	402	0	977	0	0	67	126	0	0	148	93	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0129	BL	79	41	39	95	31	0	0	21	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0130	BL	773	8871	1901	1051	2268	225	0	1393	0	112	365	0	0	0	423	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0131	BL	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
