new_id	phase	P__Bacteroidetes	P__Firmicutes	P__Proteobacteria	P__Verrucomicrobia	P__Actinobacteria	P__Fusobacteria	P__Tenericutes	K__Bacteria	P__Spirochaetes	P__Cyanobacteria.Chloroplast	P__Synergistetes	P__Candidatus_Saccharibacteria	P__Lentisphaerae	P__Elusimicrobia	P__Parcubacteria	P__Deferribacteres	P__Deinococcus.Thermus	NA	P__Acidobacteria	P__Microgenomates	P__Chloroflexi	P__Armatimonadetes
2020-023_PSC_0127	BL	16139	20239	21916	525	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0128	BL	4507	11200	286	0	165	0	0	21	0	0	0	23	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0129	BL	31503	12471	8726	11	244	0	0	0	0	6	0	0	5	0	0	0	0	0	0	0	0	0
2020-023_PSC_0130	BL	17170	17784	5316	0	395	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0133	BL	7595	21500	1437	1962	1911	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0136	BL	20632	8701	7205	301	46	0	0	0	0	15	0	3	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0137	BL	10444	13829	2019	73	284	0	0	6	0	12	0	3	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0139	BL	11574	10697	4772	55	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0142	BL	14321	3021	3958	0	196	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0143	BL	11254	10429	6194	0	71	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0145	BL	1401	785	26138	0	335	0	0	420	0	0	0	610	0	0	95	0	0	0	0	3	0	0
2020-023_PSC_0147	BL	16405	6929	2700	0	144	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0148	BL	28279	17445	1842	0	526	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0150	BL	9233	5716	229	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0151	BL	11125	12519	818	0	70	0	0	126	0	240	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0152	BL	5856	5043	2971	0	757	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0153	BL	7120	6438	158	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0155	BL	11988	10484	6030	253	395	0	0	572	0	0	0	0	71	0	0	0	0	0	0	0	0	0
2020-023_PSC_0156	BL	14592	13631	1437	0	87	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0157	BL	11508	6562	2308	890	76	4	0	0	0	8	0	2	0	0	0	0	0	0	0	0	0	0
