new_id	phase	C__Bacteroidia	C__Negativicutes	C__Gammaproteobacteria	C__Clostridia	C__Betaproteobacteria	C__Verrucomicrobiae	C__Bacilli	C__Actinobacteria	C__Erysipelotrichia	C__Alphaproteobacteria	P__Firmicutes	C__Deltaproteobacteria	P__Proteobacteria	C__Fusobacteriia	P__Bacteroidetes	C__Mollicutes	K__Bacteria	C__Spirochaetia	C__Chloroplast	C__Flavobacteriia	C__Synergistia	P__Candidatus_Saccharibacteria	C__Epsilonproteobacteria	C__Lentisphaeria	C__Cytophagia	C__Sphingobacteriia	C__Opitutae	C__Elusimicrobia	P__Parcubacteria	C__Deferribacteres	C__Deinococci	NA	C__Acidobacteria_Gp16	P__Microgenomates	C__Cyanobacteria	C__Chloroflexia	C__Holophagae	C__Acidobacteria_Gp4	C__Armatimonadia	C__Acidobacteria_Gp6
2020-023_PSC_0117	BL	10902	649	2780	4164	1830	33	133	79	50	0	47	204	0	0	0	0	33	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0120	BL	12150	5715	699	3867	858	0	515	145	74	0	0	338	8	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0121	BL	8601	1393	4268	2509	626	7	75	0	32	20	50	59	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0122	BL	34106	1528	6922	5750	161	0	159	2	64	0	489	0	0	25	0	0	2	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0124	BL	14553	1378	3024	12150	367	878	71	226	1621	3	93	617	284	0	0	0	0	0	0	11	0	0	34	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0125	BL	13225	2636	2150	5786	47	0	29	324	1381	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0126	BL	15205	3570	77	3362	1290	39	18	223	169	0	42	36	0	0	90	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0127	BL	16139	6717	17281	9258	4015	525	3609	52	624	0	31	620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0128	BL	4495	4940	129	4235	87	0	1890	165	135	70	0	0	0	0	0	0	21	0	0	8	0	23	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0129	BL	31503	1420	6695	10367	1956	11	300	244	86	0	298	14	61	0	0	0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
