new_id	phase	P__Bacteroidetes	P__Firmicutes	P__Proteobacteria	K__Bacteria	P__Actinobacteria	P__Cyanobacteria.Chloroplast	P__Parcubacteria	P__Acidobacteria	P__Gemmatimonadetes	P__Candidatus_Saccharibacteria	P__Deinococcus.Thermus	P__Armatimonadetes	P__Tenericutes	P__Chloroflexi	P__Verrucomicrobia	P__SR1	P__Spirochaetes	P__Nitrospirae	Unassigned	P__Planctomycetes	P__Fibrobacteres	P__Fusobacteria	P__Synergistetes	P__Microgenomates	P__Deferribacteres	P__Cloacimonetes	P__candidate_division_WPS.1	P__Hydrogenedentes	P__Latescibacteria	P__Elusimicrobia	P__Lentisphaerae	P__Ignavibacteriae
2020-023_PSC_0724	BL	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0737	BL	3954	5715	7022	1651	754	861	587	65	0	50	0	27	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0743	BL	6196	14251	12613	2803	1928	1002	1541	482	0	78	262	0	0	0	97	0	74	95	0	45	0	0	0	0	0	54	0	0	0	0	0	0
2020-023_PSC_0748	BL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0751	BL	5336	541	6636	1923	547	711	462	94	0	329	0	0	0	0	17	34	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0752	BL	996	477	1862	796	814	133	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0755	BL	6885	15439	11074	2176	4138	7945	129	0	0	0	0	0	0	182	22	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0760	BL	6286	1107	7124	2520	977	799	559	145	151	10	0	0	0	136	7	70	0	62	0	0	0	0	0	21	0	0	0	0	0	0	0	0
2020-023_PSC_0763	BL	82	8807	6902	0	1185	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0764	BL	4654	968	6113	1884	1331	554	86	475	0	0	0	0	0	8	0	0	0	31	32	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0766	BL	6133	7644	9183	3473	16552	732	712	276	294	356	0	0	0	0	13	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0768	BL	635	228	2502	305	373	95	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0769	BL	2586	8941	7724	851	5769	552	542	112	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0775	BL	2435	1481	3419	891	1600	262	504	0	0	31	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0781	BL	2423	6241	5182	1237	465	682	337	0	0	54	0	0	0	0	26	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
