new_id	phase	C__Flavobacteriia	C__Bacilli	C__Betaproteobacteria	K__Bacteria	C__Actinobacteria	C__Alphaproteobacteria	C__Epsilonproteobacteria	C__Gammaproteobacteria	C__Chloroplast	P__Parcubacteria	C__Negativicutes	C__Cytophagia	C__Bacteroidia	C__Oligoflexia	P__Proteobacteria	C__Clostridia	C__Acidobacteria_Gp4	C__Sphingobacteriia	C__Deltaproteobacteria	C__Cyanobacteria	P__Cyanobacteria.Chloroplast	C__Gemmatimonadetes	P__Candidatus_Saccharibacteria	P__Firmicutes	P__Bacteroidetes	C__Acidobacteria_Gp6	C__Acidobacteria_Gp3	C__Deinococci	C__Armatimonadia	C__Mollicutes	C__Caldilineae	C__Verrucomicrobiae	P__SR1	C__Erysipelotrichia	C__Spirochaetia	P__Chloroflexi	C__Nitrospira	Unassigned	P__Planctomycetes	C__Spartobacteria	C__Acidobacteria_Gp16	C__Phycisphaerae	P__Acidobacteria	C__Acidobacteria_Gp17	C__Fibrobacteria	C__Chloroflexia	C__Fusobacteriia	C__Acidobacteria_Gp1	C__Thermoleophilia	C__Planctomycetia	P__Verrucomicrobia	C__Subdivision3	C__Armatimonadetes_gp5	C__Synergistia	P__Microgenomates	C__Anaerolineae	C__Deferribacteres	C__Opitutae	C__Candidatus_Cloacamonas	C__Holophagae	C__Acidobacteria_Gp11	P__candidate_division_WPS.1	C__Thermomicrobia	C__Acidobacteria_Gp10	P__Actinobacteria	C__Fimbriimonadia	C__Chitinivibrionia	C__Candidatus_Hydrogenedens	P__Latescibacteria	C__Endomicrobia	P__Lentisphaerae	C__Ignavibacteria	C__Oligosphaeria	C__Lentisphaeria	C__Armatimonadetes_gp4
2020-023_PSC_0042	BL	1746	6278	3026	783	973	1074	0	1800	399	126	0	57	275	0	64	1065	112	92	207	110	0	0	13	0	111	0	0	0	0	0	0	3	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
2020-023_PSC_0043	BL	764	3970	1974	214	495	852	0	1080	510	130	111	77	173	0	77	441	0	0	0	315	0	0	0	0	17	0	31	118	0	0	0	7	0	18	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0044	BL	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0051	BL	2980	5531	3497	1308	1505	1971	0	1728	333	334	0	31	0	115	137	0	0	186	170	224	0	0	127	40	34	78	0	0	80	0	0	35	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0072	BL	5213	9246	5030	1885	1999	2661	77	1930	1593	398	0	746	295	0	294	3000	355	281	422	128	0	160	161	0	83	0	0	230	120	0	0	0	0	154	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0073	BL	7016	2213	2133	1998	2457	1243	85	868	378	448	0	224	364	115	123	868	0	37	129	0	0	0	0	377	0	0	0	0	12	0	0	20	84	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0078	BL	12462	395	5599	2914	1673	3345	213	1376	736	453	0	356	416	32	563	2148	0	105	909	109	0	0	115	410	84	0	71	199	0	0	42	33	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0087	BL	1648	205	405	1305	639	301	0	872	123	169	0	35	18	55	51	227	40	50	96	9	0	0	0	0	110	6	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
2020-023_PSC_0100	BL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0103	BL	1825	447	1185	1143	718	1297	0	402	220	364	0	221	190	176	510	482	0	49	234	0	0	0	13	0	0	0	0	0	73	0	95	12	0	0	0	0	53	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
